bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;841.2595062255859;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1159.099365234375;0;0;0;1;1;0;100;1;1.1;0.9
3;1;793.7016830444336;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2121.814926147461;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1092.228004455566;0;0;0;1;1;0;100;1;1.1;0.9
6;1;748.5097351074219;0;0;0;1;1;0;100;1;1.1;0.9
7;1;898.5742492675781;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1087.933181762695;0;0;0;1;1;0;100;1;1.1;0.9
9;1;606.2881164550781;0;0;0;1;1;0;100;1;1.1;0.9
10;1;883.4636001586914;0;0;0;1;1;0;100;1;1.1;0.9
11;1;916.9222259521484;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1361.275856018066;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1083.217384338379;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1528.434883117676;0;0;0;1;1;0;100;1;1.1;0.9
15;1;825.2087173461914;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1830.800575256348;0;0;0;1;1;0;100;1;1.1;0.9
17;1;539.9477157592773;0;0;0;1;1;0;100;1;1.1;0.9
18;1;614.2704772949219;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1907.44164276123;0;0;0;1;1;0;100;1;1.1;0.9
20;1;1070.608093261719;0;0;0;1;1;0;100;1;1.1;0.9
