bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,782.0169525146484,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1077.474151611328,0,0,0,1,1,0,100,1,1.1,0.9
3,1,737.8082275390625,0,0,0,1,1,0,100,1,1.1,0.9
4,1,1972.394050598145,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1015.311965942383,0,0,0,1,1,0,100,1,1.1,0.9
6,1,695.7987442016602,0,0,0,1,1,0,100,1,1.1,0.9
7,1,835.2955169677734,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1011.31957244873,0,0,0,1,1,0,100,1,1.1,0.9
9,1,563.5925445556641,0,0,0,1,1,0,100,1,1.1,0.9
10,1,821.2489776611328,0,0,0,1,1,0,100,1,1.1,0.9
11,1,852.351432800293,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1265.413101196289,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1006.93586730957,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1420.800559997559,0,0,0,1,1,0,100,1,1.1,0.9
15,1,767.0965118408203,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1701.873306274414,0,0,0,1,1,0,100,1,1.1,0.9
17,1,501.9239196777344,0,0,0,1,1,0,100,1,1.1,0.9
18,1,571.0127868652344,0,0,0,1,1,0,100,1,1.1,0.9
19,1,1773.117233276367,0,0,0,1,1,0,100,1,1.1,0.9
20,1,995.2145385742188,0,0,0,1,1,0,100,1,1.1,0.9
