bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;858.3833923339844;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1182.692947387695;0;0;0;1;1;0;100;1;1.1;0.9
3;1;809.857536315918;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2165.00463104248;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1114.460426330566;0;0;0;1;1;0;100;1;1.1;0.9
6;1;763.7457122802734;0;0;0;1;1;0;100;1;1.1;0.9
7;1;916.8647613525391;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1110.078163146973;0;0;0;1;1;0;100;1;1.1;0.9
9;1;618.6291732788086;0;0;0;1;1;0;100;1;1.1;0.9
10;1;901.4465713500977;0;0;0;1;1;0;100;1;1.1;0.9
11;1;935.5862197875977;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1388.984710693359;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1105.266342163086;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1559.546249389648;0;0;0;1;1;0;100;1;1.1;0.9
15;1;842.0059127807617;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1868.06665802002;0;0;0;1;1;0;100;1;1.1;0.9
17;1;550.9383850097656;0;0;0;1;1;0;100;1;1.1;0.9
18;1;626.7739944458008;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1946.267761230469;0;0;0;1;1;0;100;1;1.1;0.9
20;1;1092.400398254395;0;0;0;1;1;0;100;1;1.1;0.9
