bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;963.6992111206055;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1327.798568725586;0;0;0;1;1;0;100;1;1.1;0.9
3;1;909.2196731567383;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2430.630966186523;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1251.194549560547;0;0;0;1;1;0;100;1;1.1;0.9
6;1;857.4503479003906;0;0;0;1;1;0;100;1;1.1;0.9
7;1;1029.355743408203;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1246.274620056152;0;0;0;1;1;0;100;1;1.1;0.9
9;1;694.5293273925781;0;0;0;1;1;0;100;1;1.1;0.9
10;1;1012.045829772949;0;0;0;1;1;0;100;1;1.1;0.9
11;1;1050.374153137207;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1559.400436401367;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1240.872459411621;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1750.888366699219;0;0;0;1;1;0;100;1;1.1;0.9
15;1;945.3123779296875;0;0;0;1;1;0;100;1;1.1;0.9
16;1;2097.26139831543;0;0;0;1;1;0;100;1;1.1;0.9
17;1;618.5335083007812;0;0;0;1;1;0;100;1;1.1;0.9
18;1;703.6734390258789;0;0;0;1;1;0;100;1;1.1;0.9
19;1;2185.057098388672;0;0;0;1;1;0;100;1;1.1;0.9
20;1;1226.42797088623;0;0;0;1;1;0;100;1;1.1;0.9
