bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,1059.838768005371,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1460.261009216309,0,0,0,1,1,0,100,1,1.1,0.9
3,1,999.9243087768555,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2673.113021850586,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1376.014923095703,0,0,0,1,1,0,100,1,1.1,0.9
6,1,942.9904174804688,0,0,0,1,1,0,100,1,1.1,0.9
7,1,1132.045227050781,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1370.60417175293,0,0,0,1,1,0,100,1,1.1,0.9
9,1,763.8162384033203,0,0,0,1,1,0,100,1,1.1,0.9
10,1,1113.008491516113,0,0,0,1,1,0,100,1,1.1,0.9
11,1,1155.16047668457,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1714.967742919922,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1364.663101196289,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1925.558670043945,0,0,0,1,1,0,100,1,1.1,0.9
15,1,1039.617637634277,0,0,0,1,1,0,100,1,1.1,0.9
16,1,2306.486175537109,0,0,0,1,1,0,100,1,1.1,0.9
17,1,680.2390060424805,0,0,0,1,1,0,100,1,1.1,0.9
18,1,773.8725738525391,0,0,0,1,1,0,100,1,1.1,0.9
19,1,2403.040481567383,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1348.777587890625,0,0,0,1,1,0,100,1,1.1,0.9
