bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;847.9017333984375;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1168.251136779785;0;0;0;1;1;0;100;1;1.1;0.9
3;1;799.9684143066406;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2138.567886352539;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1100.851776123047;0;0;0;1;1;0;100;1;1.1;0.9
6;1;754.4196624755859;0;0;0;1;1;0;100;1;1.1;0.9
7;1;905.6689834594727;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1096.52303314209;0;0;0;1;1;0;100;1;1.1;0.9
9;1;611.0751190185547;0;0;0;1;1;0;100;1;1.1;0.9
10;1;890.4390335083008;0;0;0;1;1;0;100;1;1.1;0.9
11;1;924.161865234375;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1372.023872375488;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1091.770004272461;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1540.50276184082;0;0;0;1;1;0;100;1;1.1;0.9
15;1;831.7242431640625;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1845.255813598633;0;0;0;1;1;0;100;1;1.1;0.9
17;1;544.2109069824219;0;0;0;1;1;0;100;1;1.1;0.9
18;1;619.120491027832;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1922.502044677734;0;0;0;1;1;0;100;1;1.1;0.9
20;1;1079.061164855957;0;0;0;1;1;0;100;1;1.1;0.9
