bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,970.7254028320312,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1337.479347229004,0,0,0,1,1,0,100,1,1.1,0.9
3,1,915.8486557006836,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2448.352272033691,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1260.316772460938,0,0,0,1,1,0,100,1,1.1,0.9
6,1,863.7018814086914,0,0,0,1,1,0,100,1,1.1,0.9
7,1,1036.860595703125,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1255.36100769043,0,0,0,1,1,0,100,1,1.1,0.9
9,1,699.5930252075195,0,0,0,1,1,0,100,1,1.1,0.9
10,1,1019.424499511719,0,0,0,1,1,0,100,1,1.1,0.9
11,1,1058.0322265625,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1570.76978302002,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1249.919471740723,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1763.653800964355,0,0,0,1,1,0,100,1,1.1,0.9
15,1,952.2044906616211,0,0,0,1,1,0,100,1,1.1,0.9
16,1,2112.55216217041,0,0,0,1,1,0,100,1,1.1,0.9
17,1,623.0431289672852,0,0,0,1,1,0,100,1,1.1,0.9
18,1,708.8038101196289,0,0,0,1,1,0,100,1,1.1,0.9
19,1,2200.988006591797,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1235.369659423828,0,0,0,1,1,0,100,1,1.1,0.9
