bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,860.8790283203125,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1186.13143157959,0,0,0,1,1,0,100,1,1.1,0.9
3,1,812.2120971679688,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2171.299110412598,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1117.700546264648,0,0,0,1,1,0,100,1,1.1,0.9
6,1,765.966178894043,0,0,0,1,1,0,100,1,1.1,0.9
7,1,919.5304565429688,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1113.305572509766,0,0,0,1,1,0,100,1,1.1,0.9
9,1,620.4277420043945,0,0,0,1,1,0,100,1,1.1,0.9
10,1,904.0673904418945,0,0,0,1,1,0,100,1,1.1,0.9
11,1,938.3063507080078,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1393.023002624512,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1108.479782104492,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1564.080429077148,0,0,0,1,1,0,100,1,1.1,0.9
15,1,844.4539413452148,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1873.497825622559,0,0,0,1,1,0,100,1,1.1,0.9
17,1,552.540168762207,0,0,0,1,1,0,100,1,1.1,0.9
18,1,628.5962600708008,0,0,0,1,1,0,100,1,1.1,0.9
19,1,1951.926300048828,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1095.576416015625,0,0,0,1,1,0,100,1,1.1,0.9
