bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,716.0553894042969,0,0,0,1,1,0,100,1,1.1,0.9
2,1,986.5913619995117,0,0,0,1,1,0,100,1,1.1,0.9
3,1,675.5755767822266,0,0,0,1,1,0,100,1,1.1,0.9
4,1,1806.02660369873,0,0,0,1,1,0,100,1,1.1,0.9
5,1,929.6724166870117,0,0,0,1,1,0,100,1,1.1,0.9
6,1,637.1095352172852,0,0,0,1,1,0,100,1,1.1,0.9
7,1,764.8400115966797,0,0,0,1,1,0,100,1,1.1,0.9
8,1,926.0168075561523,0,0,0,1,1,0,100,1,1.1,0.9
9,1,516.0546646118164,0,0,0,1,1,0,100,1,1.1,0.9
10,1,751.978271484375,0,0,0,1,1,0,100,1,1.1,0.9
11,1,780.4572677612305,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1158.67805480957,0,0,0,1,1,0,100,1,1.1,0.9
13,1,922.0028457641602,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1300.95890045166,0,0,0,1,1,0,100,1,1.1,0.9
15,1,702.3934478759766,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1558.323715209961,0,0,0,1,1,0,100,1,1.1,0.9
17,1,459.587646484375,0,0,0,1,1,0,100,1,1.1,0.9
18,1,522.8489837646484,0,0,0,1,1,0,100,1,1.1,0.9
19,1,1623.55834197998,0,0,0,1,1,0,100,1,1.1,0.9
20,1,911.2701873779297,0,0,0,1,1,0,100,1,1.1,0.9
