bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,1076.693923950195,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1483.484252929688,0,0,0,1,1,0,100,1,1.1,0.9
3,1,1015.826591491699,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2715.624847412109,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1397.898345947266,0,0,0,1,1,0,100,1,1.1,0.9
6,1,957.9872283935547,0,0,0,1,1,0,100,1,1.1,0.9
7,1,1150.048713684082,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1392.401557922363,0,0,0,1,1,0,100,1,1.1,0.9
9,1,775.9635696411133,0,0,0,1,1,0,100,1,1.1,0.9
10,1,1130.70922088623,0,0,0,1,1,0,100,1,1.1,0.9
11,1,1173.531539916992,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1742.241714477539,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1386.366012573242,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1956.181793212891,0,0,0,1,1,0,100,1,1.1,0.9
15,1,1056.151176452637,0,0,0,1,1,0,100,1,1.1,0.9
16,1,2343.167381286621,0,0,0,1,1,0,100,1,1.1,0.9
17,1,691.0571670532227,0,0,0,1,1,0,100,1,1.1,0.9
18,1,786.1798477172852,0,0,0,1,1,0,100,1,1.1,0.9
19,1,2441.257217407227,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1370.227867126465,0,0,0,1,1,0,100,1,1.1,0.9
