bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;882.0727310180664;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1215.33243560791;0;0;0;1;1;0;100;1;1.1;0.9
3;1;832.2076873779297;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2224.753608703613;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1145.216850280762;0;0;0;1;1;0;100;1;1.1;0.9
6;1;784.8232498168945;0;0;0;1;1;0;100;1;1.1;0.9
7;1;942.1680603027344;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1140.713661193848;0;0;0;1;1;0;100;1;1.1;0.9
9;1;635.7018661499023;0;0;0;1;1;0;100;1;1.1;0.9
10;1;926.324333190918;0;0;0;1;1;0;100;1;1.1;0.9
11;1;961.4061889648438;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1427.317390441895;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1135.769073486328;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1602.586029052734;0;0;0;1;1;0;100;1;1.1;0.9
15;1;865.243278503418;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1919.62085723877;0;0;0;1;1;0;100;1;1.1;0.9
17;1;566.1429824829102;0;0;0;1;1;0;100;1;1.1;0.9
18;1;644.0714721679688;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1999.98014831543;0;0;0;1;1;0;100;1;1.1;0.9
20;1;1122.548049926758;0;0;0;1;1;0;100;1;1.1;0.9
