bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,723.3887252807617,0,0,0,1,1,0,100,1,1.1,0.9
2,1,996.6953277587891,0,0,0,1,1,0,100,1,1.1,0.9
3,1,682.4943313598633,0,0,0,1,1,0,100,1,1.1,0.9
4,1,1824.52262878418,0,0,0,1,1,0,100,1,1.1,0.9
5,1,939.1934814453125,0,0,0,1,1,0,100,1,1.1,0.9
6,1,643.6343383789062,0,0,0,1,1,0,100,1,1.1,0.9
7,1,772.672981262207,0,0,0,1,1,0,100,1,1.1,0.9
8,1,935.5003967285156,0,0,0,1,1,0,100,1,1.1,0.9
9,1,521.3397216796875,0,0,0,1,1,0,100,1,1.1,0.9
10,1,759.6795196533203,0,0,0,1,1,0,100,1,1.1,0.9
11,1,788.4501571655273,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1170.544372558594,0,0,0,1,1,0,100,1,1.1,0.9
13,1,931.4453506469727,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1314.282371520996,0,0,0,1,1,0,100,1,1.1,0.9
15,1,709.5868453979492,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1574.282958984375,0,0,0,1,1,0,100,1,1.1,0.9
17,1,464.2944183349609,0,0,0,1,1,0,100,1,1.1,0.9
18,1,528.2036285400391,0,0,0,1,1,0,100,1,1.1,0.9
19,1,1640.185676574707,0,0,0,1,1,0,100,1,1.1,0.9
20,1,920.6027603149414,0,0,0,1,1,0,100,1,1.1,0.9
