bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;720.3555526733398;0;0;0;1;1;0;100;1;1.1;0.9
2;1;992.5161972045898;0;0;0;1;1;0;100;1;1.1;0.9
3;1;679.6326522827148;0;0;0;1;1;0;100;1;1.1;0.9
4;1;1816.872459411621;0;0;0;1;1;0;100;1;1.1;0.9
5;1;935.2554473876953;0;0;0;1;1;0;100;1;1.1;0.9
6;1;640.9356079101562;0;0;0;1;1;0;100;1;1.1;0.9
7;1;769.4331817626953;0;0;0;1;1;0;100;1;1.1;0.9
8;1;931.5778656005859;0;0;0;1;1;0;100;1;1.1;0.9
9;1;519.1537628173828;0;0;0;1;1;0;100;1;1.1;0.9
10;1;756.4941635131836;0;0;0;1;1;0;100;1;1.1;0.9
11;1;785.1442108154297;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1165.636329650879;0;0;0;1;1;0;100;1;1.1;0.9
13;1;927.5398254394531;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1308.771614074707;0;0;0;1;1;0;100;1;1.1;0.9
15;1;706.6115798950195;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1567.682006835938;0;0;0;1;1;0;100;1;1.1;0.9
17;1;462.3476257324219;0;0;0;1;1;0;100;1;1.1;0.9
18;1;525.988883972168;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1633.308410644531;0;0;0;1;1;0;100;1;1.1;0.9
20;1;916.7426910400391;0;0;0;1;1;0;100;1;1.1;0.9
