bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;862.9523468017578;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1188.988059997559;0;0;0;1;1;0;100;1;1.1;0.9
3;1;814.1681900024414;0;0;0;1;1;0;100;1;1.1;0.9
4;1;2176.528343200684;0;0;0;1;1;0;100;1;1.1;0.9
5;1;1120.392372131348;0;0;0;1;1;0;100;1;1.1;0.9
6;1;767.8108978271484;0;0;0;1;1;0;100;1;1.1;0.9
7;1;921.744987487793;0;0;0;1;1;0;100;1;1.1;0.9
8;1;1115.986778259277;0;0;0;1;1;0;100;1;1.1;0.9
9;1;621.9219665527344;0;0;0;1;1;0;100;1;1.1;0.9
10;1;906.2446899414062;0;0;0;1;1;0;100;1;1.1;0.9
11;1;940.5660858154297;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1396.377876281738;0;0;0;1;1;0;100;1;1.1;0.9
13;1;1111.149398803711;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1567.847290039062;0;0;0;1;1;0;100;1;1.1;0.9
15;1;846.4876708984375;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1878.009834289551;0;0;0;1;1;0;100;1;1.1;0.9
17;1;553.8708877563477;0;0;0;1;1;0;100;1;1.1;0.9
18;1;630.1101303100586;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1956.62720489502;0;0;0;1;1;0;100;1;1.1;0.9
20;1;1098.214942932129;0;0;0;1;1;0;100;1;1.1;0.9
