bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;713.3677673339844;0;0;0;1;1;0;100;1;1.1;0.9
2;1;982.8883438110352;0;0;0;1;1;0;100;1;1.1;0.9
3;1;673.039909362793;0;0;0;1;1;0;100;1;1.1;0.9
4;1;1799.247955322266;0;0;0;1;1;0;100;1;1.1;0.9
5;1;926.1830368041992;0;0;0;1;1;0;100;1;1.1;0.9
6;1;634.7182235717773;0;0;0;1;1;0;100;1;1.1;0.9
7;1;761.9692840576172;0;0;0;1;1;0;100;1;1.1;0.9
8;1;922.5411376953125;0;0;0;1;1;0;100;1;1.1;0.9
9;1;514.1177368164062;0;0;0;1;1;0;100;1;1.1;0.9
10;1;749.1558456420898;0;0;0;1;1;0;100;1;1.1;0.9
11;1;777.5279541015625;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1154.329116821289;0;0;0;1;1;0;100;1;1.1;0.9
13;1;918.5422515869141;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1296.07593536377;0;0;0;1;1;0;100;1;1.1;0.9
15;1;699.7571029663086;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1552.474746704102;0;0;0;1;1;0;100;1;1.1;0.9
17;1;457.862678527832;0;0;0;1;1;0;100;1;1.1;0.9
18;1;520.8865509033203;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1617.464576721191;0;0;0;1;1;0;100;1;1.1;0.9
20;1;907.8498611450195;0;0;0;1;1;0;100;1;1.1;0.9
