bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,1023.901634216309,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1410.746322631836,0,0,0,1,1,0,100,1,1.1,0.9
3,1,966.0187530517578,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2582.472770690918,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1329.356811523438,0,0,0,1,1,0,100,1,1.1,0.9
6,1,911.0153656005859,0,0,0,1,1,0,100,1,1.1,0.9
7,1,1093.659690856934,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1324.12956237793,0,0,0,1,1,0,100,1,1.1,0.9
9,1,737.9166641235352,0,0,0,1,1,0,100,1,1.1,0.9
10,1,1075.268455505371,0,0,0,1,1,0,100,1,1.1,0.9
11,1,1115.991134643555,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1656.816383361816,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1318.389923095703,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1860.266593933105,0,0,0,1,1,0,100,1,1.1,0.9
15,1,1004.366142272949,0,0,0,1,1,0,100,1,1.1,0.9
16,1,2228.277587890625,0,0,0,1,1,0,100,1,1.1,0.9
17,1,657.1733703613281,0,0,0,1,1,0,100,1,1.1,0.9
18,1,747.6320037841797,0,0,0,1,1,0,100,1,1.1,0.9
19,1,2321.557861328125,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1303.043060302734,0,0,0,1,1,0,100,1,1.1,0.9
