bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,876.5823516845703,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1207.767692565918,0,0,0,1,1,0,100,1,1.1,0.9
3,1,827.0276794433594,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2210.905815124512,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1138.088562011719,0,0,0,1,1,0,100,1,1.1,0.9
6,1,779.9381942749023,0,0,0,1,1,0,100,1,1.1,0.9
7,1,936.3035659790039,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1133.613372802734,0,0,0,1,1,0,100,1,1.1,0.9
9,1,631.7449798583984,0,0,0,1,1,0,100,1,1.1,0.9
10,1,920.5585250854492,0,0,0,1,1,0,100,1,1.1,0.9
11,1,955.421989440918,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1418.433135986328,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1128.699554443359,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1592.610832214355,0,0,0,1,1,0,100,1,1.1,0.9
15,1,859.8576278686523,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1907.672309875488,0,0,0,1,1,0,100,1,1.1,0.9
17,1,562.6190719604492,0,0,0,1,1,0,100,1,1.1,0.9
18,1,640.0624847412109,0,0,0,1,1,0,100,1,1.1,0.9
19,1,1987.531394958496,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1115.560836791992,0,0,0,1,1,0,100,1,1.1,0.9
