bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,907.2594833374023,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1250.035049438477,0,0,0,1,1,0,100,1,1.1,0.9
3,1,855.9705505371094,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2288.279281616211,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1177.917404174805,0,0,0,1,1,0,100,1,1.1,0.9
6,1,807.2331390380859,0,0,0,1,1,0,100,1,1.1,0.9
7,1,969.0707473754883,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1173.285636901855,0,0,0,1,1,0,100,1,1.1,0.9
9,1,653.8536987304688,0,0,0,1,1,0,100,1,1.1,0.9
10,1,952.7746200561523,0,0,0,1,1,0,100,1,1.1,0.9
11,1,988.8582077026367,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1468.073020935059,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1168.199844360352,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1648.346305847168,0,0,0,1,1,0,100,1,1.1,0.9
15,1,889.9494552612305,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1974.433723449707,0,0,0,1,1,0,100,1,1.1,0.9
17,1,582.3086318969727,0,0,0,1,1,0,100,1,1.1,0.9
18,1,662.4622802734375,0,0,0,1,1,0,100,1,1.1,0.9
19,1,2057.087585449219,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1154.601303100586,0,0,0,1,1,0,100,1,1.1,0.9
