bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,764.4323196411133,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1053.245788574219,0,0,0,1,1,0,100,1,1.1,0.9
3,1,721.2176895141602,0,0,0,1,1,0,100,1,1.1,0.9
4,1,1928.042304992676,0,0,0,1,1,0,100,1,1.1,0.9
5,1,992.4813842773438,0,0,0,1,1,0,100,1,1.1,0.9
6,1,680.1528396606445,0,0,0,1,1,0,100,1,1.1,0.9
7,1,816.5128479003906,0,0,0,1,1,0,100,1,1.1,0.9
8,1,988.5788192749023,0,0,0,1,1,0,100,1,1.1,0.9
9,1,550.9194641113281,0,0,0,1,1,0,100,1,1.1,0.9
10,1,802.7821731567383,0,0,0,1,1,0,100,1,1.1,0.9
11,1,833.1852111816406,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1236.958694458008,0,0,0,1,1,0,100,1,1.1,0.9
13,1,984.2936706542969,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1388.852088928223,0,0,0,1,1,0,100,1,1.1,0.9
15,1,749.8473892211914,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1663.604530334473,0,0,0,1,1,0,100,1,1.1,0.9
17,1,490.6375427246094,0,0,0,1,1,0,100,1,1.1,0.9
18,1,558.1728210449219,0,0,0,1,1,0,100,1,1.1,0.9
19,1,1733.246490478516,0,0,0,1,1,0,100,1,1.1,0.9
20,1,972.8358917236328,0,0,0,1,1,0,100,1,1.1,0.9
