bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,883.2245712280273,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1216.919425964355,0,0,0,1,1,0,100,1,1.1,0.9
3,1,833.2944183349609,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2227.658737182617,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1146.712326049805,0,0,0,1,1,0,100,1,1.1,0.9
6,1,785.8480987548828,0,0,0,1,1,0,100,1,1.1,0.9
7,1,943.3983688354492,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1142.203247070312,0,0,0,1,1,0,100,1,1.1,0.9
9,1,636.5319595336914,0,0,0,1,1,0,100,1,1.1,0.9
10,1,927.5339508056641,0,0,0,1,1,0,100,1,1.1,0.9
11,1,962.6616134643555,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1429.181221008301,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1137.252212524414,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1604.678726196289,0,0,0,1,1,0,100,1,1.1,0.9
15,1,866.3731307983398,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1922.127548217773,0,0,0,1,1,0,100,1,1.1,0.9
17,1,566.8822555541992,0,0,0,1,1,0,100,1,1.1,0.9
18,1,644.9125137329102,0,0,0,1,1,0,100,1,1.1,0.9
19,1,2002.591743469238,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1124.013900756836,0,0,0,1,1,0,100,1,1.1,0.9
